n,pattern,seed,policy,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
15,C,7,batch_reoptimize,45.5169,39.84,1.1425,6.0307,1.4598,16385,15,True,-6.320281,True,False
15,C,99,nearest_neighbor,45.5803,39.6173,1.1505,6.0358,1.3276,16385,15,True,-3.507851,True,False
15,C,99,cheapest_insertion,48.4811,39.6173,1.2237,6.0358,1.3276,16385,15,True,-2.057441,True,False
15,C,99,batch_reoptimize,41.995,39.6173,1.06,6.0358,1.3276,16385,15,True,-5.300497,True,False
15,C,256,nearest_neighbor,53.7655,36.8873,1.4576,5.939,1.479,16385,15,True,-0.394908,True,False
15,C,256,cheapest_insertion,45.1781,36.8873,1.2248,5.939,1.479,16385,15,True,-4.400152,True,False
15,C,256,batch_reoptimize,42.4552,36.8873,1.1509,5.939,1.479,16385,15,True,-4.400152,True,False
15,D,42,nearest_neighbor,63.563,36.3758,1.7474,5.6906,,78,5,True,-4.412532,False,False
15,D,42,cheapest_insertion,63.1936,36.3758,1.7372,5.6906,,142,7,True,-4.412532,False,False
15,D,42,batch_reoptimize,56.4729,36.3758,1.5525,5.6906,,126,6,True,-4.412532,False,False
15,D,123,nearest_neighbor,60.8076,33.9659,1.7903,6.4862,,31,4,True,-5.063064,False,False
15,D,123,cheapest_insertion,58.3809,33.9659,1.7188,6.4862,,27,4,True,-5.063064,False,False
15,D,123,batch_reoptimize,58.3809,33.9659,1.7188,6.4862,,27,4,True,-5.063064,False,False
15,D,7,nearest_neighbor,65.4997,39.84,1.6441,6.0307,,125,6,True,-7.732108,False,False
15,D,7,cheapest_insertion,62.6075,39.84,1.5715,6.0307,,133,6,True,-7.732108,False,False
15,D,7,batch_reoptimize,64.2795,39.84,1.6134,6.0307,,145,7,True,-7.732108,False,False
15,D,99,nearest_neighbor,61.1308,39.6173,1.543,6.0358,,83,6,True,-6.025268,False,False
15,D,99,cheapest_insertion,58.3092,39.6173,1.4718,6.0358,,111,6,True,-6.025268,False,False
15,D,99,batch_reoptimize,58.3092,39.6173,1.4718,6.0358,,111,6,True,-6.025268,False,False
