n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
15,B_light,256,nearest_neighbor,3.873,0.5,1.4248,26.4888,14.2864,1.8541,5.939,,26,3,True,-1.704171,False,False
15,B_light,256,cheapest_insertion,3.873,0.5,1.4248,27.1918,14.2864,1.9033,5.939,,36,4,True,-1.704171,False,False
15,B_light,256,batch_reoptimize,3.873,0.5,1.4248,26.6908,14.2864,1.8683,5.939,,36,4,True,-1.704171,False,False
15,C,7,nearest_neighbor,3.873,2.0,0.3562,21.2889,15.43,1.3797,6.0307,1.4598,16385,15,True,-0.617691,True,False
15,C,7,cheapest_insertion,3.873,2.0,0.3562,18.2306,15.43,1.1815,6.0307,1.4598,16385,15,True,-2.146857,True,False
15,C,7,batch_reoptimize,3.873,2.0,0.3562,17.6286,15.43,1.1425,6.0307,1.4598,16385,15,True,-2.447863,True,False
15,C,42,nearest_neighbor,3.873,2.0,0.3562,15.0629,14.0883,1.0692,5.6906,1.1412,16385,15,True,-0.507637,True,False
15,C,42,cheapest_insertion,3.873,2.0,0.3562,15.8359,14.0883,1.124,5.6906,1.1412,16385,15,True,-0.12115,True,False
15,C,42,batch_reoptimize,3.873,2.0,0.3562,14.139,14.0883,1.0036,5.6906,1.1412,16385,15,True,-0.969582,True,False
15,C,99,nearest_neighbor,3.873,2.0,0.3562,17.6495,15.3437,1.1503,6.0358,1.3276,16385,15,True,-1.360394,True,False
15,C,99,cheapest_insertion,3.873,2.0,0.3562,18.773,15.3437,1.2235,6.0358,1.3276,16385,15,True,-0.798653,True,False
15,C,99,batch_reoptimize,3.873,2.0,0.3562,16.261,15.3437,1.0598,6.0358,1.3276,16385,15,True,-2.054683,True,False
15,C,123,nearest_neighbor,3.873,2.0,0.3562,15.0375,13.1549,1.1431,6.4862,1.202,16385,15,True,-0.387436,True,False
15,C,123,cheapest_insertion,3.873,2.0,0.3562,13.1885,13.1549,1.0026,6.4862,1.202,16385,15,True,-1.311918,True,False
15,C,123,batch_reoptimize,3.873,2.0,0.3562,13.1885,13.1549,1.0026,6.4862,1.202,16385,15,True,-1.311918,True,False
15,C,256,nearest_neighbor,3.873,2.0,0.3562,20.8219,14.2864,1.4575,5.939,1.479,16385,15,True,-0.15366,True,False
15,C,256,cheapest_insertion,3.873,2.0,0.3562,17.496,14.2864,1.2247,5.939,1.479,16385,15,True,-1.704171,True,False
15,C,256,batch_reoptimize,3.873,2.0,0.3562,16.4414,14.2864,1.1508,5.939,1.479,16385,15,True,-1.704171,True,False
15,D,7,nearest_neighbor,3.873,1.0,0.7124,21.6486,15.43,1.403,6.0307,,233,7,True,-2.994633,False,False
15,D,7,cheapest_insertion,3.873,1.0,0.7124,18.8193,15.43,1.2197,6.0307,,697,10,True,-2.994633,False,False
15,D,7,batch_reoptimize,3.873,1.0,0.7124,18.8193,15.43,1.2197,6.0307,,697,10,True,-2.994633,False,False
15,D,42,nearest_neighbor,3.873,1.0,0.7124,21.221,14.0883,1.5063,5.6906,,391,8,True,-1.708967,False,False
15,D,42,cheapest_insertion,3.873,1.0,0.7124,19.1435,14.0883,1.3588,5.6906,,455,9,True,-1.708967,False,False
15,D,42,batch_reoptimize,3.873,1.0,0.7124,18.2935,14.0883,1.2985,5.6906,,455,9,True,-1.708967,False,False
15,D,99,nearest_neighbor,3.873,1.0,0.7124,22.4698,15.3437,1.4644,6.0358,,353,8,True,-2.333576,False,False
15,D,99,cheapest_insertion,3.873,1.0,0.7124,20.3436,15.3437,1.3259,6.0358,,721,10,True,-2.333576,False,False
15,D,99,batch_reoptimize,3.873,1.0,0.7124,18.4878,15.3437,1.2049,6.0358,,369,8,True,-2.333576,False,False
15,D,123,nearest_neighbor,3.873,1.0,0.7124,15.2332,13.1549,1.158,6.4862,,77,6,True,-1.960916,False,False
15,D,123,cheapest_insertion,3.873,1.0,0.7124,15.9867,13.1549,1.2153,6.4862,,113,7,True,-1.960916,False,False
